"y" "m" "d" "s" "r"
4.27 6.3 9 0 1
4.21 4.7 20 1 0
14.22 6.5 20 0 1
5.43 5.2 49 0 1
0.02 5.3 22 0 1
1.02 5 14 0 0
10.47 6.6 117 0 0
0.01 4.5 17 0 0
1.65 5.4 27 1 0
17.19 5.9 9 0 0
0.1 6.5 61 0 1
15.9 6.9 105 1 0
0.1 5.2 21 1 0
0.21 4.8 5 0 1
3.27 5.1 12 0 0
8.32 5.5 22 1 0
10.45 5.3 11 0 1
3.6 5.4 6 0 0
4.56 5.5 1 0 0
0.37 5 4 0 1
6.36 5.2 14 0 0
2.85 4.6 21 1 0
8.82 6.4 30 1 0
0.02 5.4 32 1 0
0.81 4.6 9 0 0
0.06 6.5 72 0 1
3.25 5.4 4 0 1
1.75 5.4 30 0 1
0.29 4.7 5 1 0
3.93 5.7 65 1 0
7.29 5.2 19 1 0
0.87 5 65 1 0
16.52 5.5 15 1 0
9.34 6.6 116 0 1
0.43 5.4 31 0 1
1.56 5 44 1 0
3.67 6.6 85 1 0
19.84 5.7 50 1 0
4.41 5.2 17 0 0
0.18 5 19 0 0
2.25 4.8 14 0 1
0.01 6.6 119 0 1
30.45 6.6 51 1 0
6.44 5.2 21 0 0
4.37 4.7 5 0 0
0.05 4.9 14 1 0
5.74 5.6 15 0 0
21.07 6.4 78 0 1
17.94 6.9 33 0 0
12.78 6.6 65 1 0
2.14 4.5 12 0 1
1.3 5.8 34 1 0
0.62 4.8 11 1 0
28.27 6.6 31 1 0
2.85 5.4 1 0 1
0.15 4.9 16 1 0
4.27 5.2 18 1 0
11.92 5.6 5 0 0
0.71 4.8 4 1 0
4.78 5.5 1 0 0
2.78 4.9 8 0 0
0.9 4.7 4 1 0
0.94 5 6 0 1
7.47 6.4 104 0 0
1.2 5 19 0 0
0.92 5.2 29 0 0
1.93 5.7 39 1 0
5.06 6.2 75 1 0
15.3 6.6 82 0 1
10.04 5.1 28 1 0
5.43 5.2 9 0 0
3.2 5.1 13 0 0
0.04 4.5 3 1 0
13.92 5.8 34 1 0
3.18 4.8 15 0 0
3.96 6.1 44 0 0
0.51 4.9 14 1 0
1.55 4.7 13 0 1
5.14 5.5 10 1 0
8.16 5.5 12 1 0
7.03 5.4 10 0 0
6.18 5.2 13 0 0
3.44 5.4 4 1 0
5.13 6.9 128 1 0
6.37 6.5 90 1 0
5.03 5.1 2 1 0
2.32 5.4 5 1 0
5.63 5.3 6 1 0
3.51 5.7 22 0 0
1.48 5.2 27 0 0
0.01 4.5 1 1 0
1.19 4.7 3 1 0
8.1 5.4 12 1 0
2.14 5.2 22 0 0
1.9 4.7 12 0 0
0.79 5.4 35 0 0
0.04 6.4 105 0 1
6.26 6.3 9 1 0
4.13 5.1 10 1 0
4.31 5.3 6 0 0
